vectorizer,model,accuracy,class,precision,recall,f1-score,support
Deep_Learning,Word2Vec,0.7376425855513308,neg_review,0.53125,0.23943661971830985,0.33009708737864074,71.0
Deep_Learning,Word2Vec,0.7376425855513308,pos_review,0.7662337662337663,0.921875,0.8368794326241135,192.0
Deep_Learning,Word2Vec,0.7376425855513308,average,0.7027970840946126,0.7376425855513308,0.7000674686985295,263.0
Deep_Learning,GloVe,0.7452471482889734,neg_review,0.5625,0.2535211267605634,0.34951456310679613,71.0
Deep_Learning,GloVe,0.7452471482889734,pos_review,0.7705627705627706,0.9270833333333334,0.8416075650118204,192.0
Deep_Learning,GloVe,0.7452471482889734,average,0.7143937336427831,0.7452471482889734,0.7087611652579926,263.0
Deep_Learning,CNN,0.7718631178707225,neg_review,0.5714285714285714,0.6197183098591549,0.5945945945945946,71.0
Deep_Learning,CNN,0.7718631178707225,pos_review,0.8548387096774194,0.828125,0.8412698412698412,192.0
Deep_Learning,CNN,0.7718631178707225,average,0.7783287484011143,0.7718631178707225,0.7746769039544705,263.0
Deep_Learning,RNN_LSTM,0.8326996197718631,neg_review,0.7288135593220338,0.6056338028169014,0.6615384615384615,71.0
Deep_Learning,RNN_LSTM,0.8326996197718631,pos_review,0.8627450980392157,0.9166666666666666,0.888888888888889,192.0
Deep_Learning,RNN_LSTM,0.8326996197718631,average,0.8265886750395202,0.8326996197718631,0.8275129180072146,263.0
