vectorizer,model,accuracy,class,precision,recall,f1-score,support
Word2Vec_ML,LogReg,0.7985401459854015,neg_review,0.6,0.06382978723404255,0.11538461538461536,141.0
Word2Vec_ML,LogReg,0.7985401459854015,pos_review,0.8029850746268656,0.9889705882352942,0.886326194398682,544.0
Word2Vec_ML,LogReg,0.7985401459854015,average,0.761202745397102,0.7985401459854015,0.7276360299592902,685.0
Word2Vec_ML,KNN,0.7635036496350365,neg_review,0.42105263157894735,0.3971631205673759,0.4087591240875912,141.0
Word2Vec_ML,KNN,0.7635036496350365,pos_review,0.8460144927536232,0.8584558823529411,0.8521897810218978,544.0
Word2Vec_ML,KNN,0.7635036496350365,average,0.7585405914023395,0.7635036496350365,0.76091427353615,685.0
Word2Vec_ML,LSVM,0.7941605839416058,neg_review,0.0,0.0,0.0,141.0
Word2Vec_ML,LSVM,0.7941605839416058,pos_review,0.7941605839416058,1.0,0.8852725793327908,544.0
Word2Vec_ML,LSVM,0.7941605839416058,average,0.6306910330864723,0.7941605839416058,0.7030485885504207,685.0
Word2Vec_ML,KSVM,0.7941605839416058,neg_review,0.0,0.0,0.0,141.0
Word2Vec_ML,KSVM,0.7941605839416058,pos_review,0.7941605839416058,1.0,0.8852725793327908,544.0
Word2Vec_ML,KSVM,0.7941605839416058,average,0.6306910330864723,0.7941605839416058,0.7030485885504207,685.0
Word2Vec_ML,NBayes,0.7941605839416058,neg_review,0.0,0.0,0.0,141.0
Word2Vec_ML,NBayes,0.7941605839416058,pos_review,0.7941605839416058,1.0,0.8852725793327908,544.0
Word2Vec_ML,NBayes,0.7941605839416058,average,0.6306910330864723,0.7941605839416058,0.7030485885504207,685.0
Word2Vec_ML,DTree,0.7605839416058394,neg_review,0.42483660130718953,0.46099290780141844,0.44217687074829937,141.0
Word2Vec_ML,DTree,0.7605839416058394,pos_review,0.8571428571428571,0.8382352941176471,0.8475836431226766,544.0
Word2Vec_ML,DTree,0.7605839416058394,average,0.7681571898832527,0.7605839416058394,0.7641349498310165,685.0
Word2Vec_ML,RForest,0.8102189781021898,neg_review,0.5486725663716814,0.4397163120567376,0.4881889763779528,141.0
Word2Vec_ML,RForest,0.8102189781021898,pos_review,0.8618881118881119,0.90625,0.8835125448028673,544.0
Word2Vec_ML,RForest,0.8102189781021898,average,0.7974160068985985,0.8102189781021898,0.8021393723241622,685.0
Word2Vec_ML,ABoost,0.7941605839416058,neg_review,0.5,0.41843971631205673,0.4555984555984556,141.0
Word2Vec_ML,ABoost,0.7941605839416058,pos_review,0.855379188712522,0.8915441176470589,0.873087308730873,544.0
Word2Vec_ML,ABoost,0.7941605839416058,average,0.7822281440286306,0.7941605839416058,0.7871516469912077,685.0
Word2Vec_ML,GBoost,0.8160583941605839,neg_review,0.5700934579439252,0.4326241134751773,0.49193548387096775,141.0
Word2Vec_ML,GBoost,0.8160583941605839,pos_review,0.8615916955017301,0.9154411764705882,0.8877005347593583,544.0
Word2Vec_ML,GBoost,0.8160583941605839,average,0.8015898685007804,0.8160583941605839,0.8062364877881713,685.0
Word2Vec_ML,SGBoost,0.8087591240875912,neg_review,0.5490196078431373,0.3971631205673759,0.46090534979423875,141.0
Word2Vec_ML,SGBoost,0.8087591240875912,pos_review,0.8542024013722127,0.9154411764705882,0.8837622005323867,544.0
Word2Vec_ML,SGBoost,0.8087591240875912,average,0.7913837533611183,0.8087591240875912,0.7967215933001548,685.0
Word2Vec_ML,XGBoost,0.8116788321167884,neg_review,0.5576923076923077,0.41134751773049644,0.47346938775510206,141.0
Word2Vec_ML,XGBoost,0.8116788321167884,pos_review,0.8571428571428571,0.9154411764705882,0.8853333333333332,544.0
Word2Vec_ML,XGBoost,0.8116788321167884,average,0.7955041309055908,0.8116788321167884,0.8005554992800038,685.0
Word2Vec_ML,CBoost,0.8,neg_review,0.5178571428571429,0.41134751773049644,0.45849802371541504,141.0
Word2Vec_ML,CBoost,0.8,pos_review,0.8551483420593369,0.9007352941176471,0.8773500447627575,544.0
Word2Vec_ML,CBoost,0.8,average,0.7857205185739217,0.8,0.7911337893354943,685.0
